Problem,ms,stepcount,lvl0ccMax,lvl0ccMin,lvl2isolated,lvl1ccMin,lvl0isolated,lvl0order,lvl3size,lvl1isolated,lvl1size,lvl2order,lvl3order,lvl0size,lvl2ccMax,lvl1ccCount,lvl1ccMax,lvl2ccMin,lvl2ccCount,lvl3ccCount,lvl3isolated,lvl1order,lvl3ccMin,lvl2size,lvl3ccMax,lvl0ccCount
strips-gripper-x-1,46,11,39,39,0,66,0,39,57,0,471,74,28,107,74,1,66,74,1,9,8,66,1,743,20,1
strips-gripper-x-10,7583,85,147,147,0,282,0,147,705,0,6447,326,118,935,326,1,282,326,1,27,26,282,1,12299,92,1
strips-gripper-x-11,9060,93,159,159,0,306,0,159,817,0,7511,354,128,1067,354,1,306,354,1,29,28,306,1,14423,100,1
strips-gripper-x-12,10617,101,171,171,0,330,0,171,937,0,8655,382,138,1207,382,1,330,382,1,31,30,330,1,16715,108,1
strips-gripper-x-13,12499,109,183,183,0,354,0,183,1065,0,9879,410,148,1355,410,1,354,410,1,33,32,354,1,19175,116,1
strips-gripper-x-14,15050,119,195,195,0,378,0,195,1201,0,11183,438,158,1511,438,1,378,438,1,35,34,378,1,21803,124,1
strips-gripper-x-15,16886,125,207,207,0,402,0,207,1345,0,12567,466,168,1675,466,1,402,466,1,37,36,402,1,24599,132,1
strips-gripper-x-16,20084,135,219,219,0,426,0,219,1497,0,14031,494,178,1847,494,1,426,494,1,39,38,426,1,27563,140,1
strips-gripper-x-17,23613,143,231,231,0,450,0,231,1657,0,15575,522,188,2027,522,1,450,522,1,41,40,450,1,30695,148,1
strips-gripper-x-18,26973,151,243,243,0,474,0,243,1825,0,17199,550,198,2215,550,1,474,550,1,43,42,474,1,33995,156,1
strips-gripper-x-19,29851,157,255,255,0,498,0,255,2001,0,18903,578,208,2411,578,1,498,578,1,45,44,498,1,37463,164,1
strips-gripper-x-2,1075,17,51,51,0,90,0,51,97,0,815,102,38,167,102,1,90,102,1,11,10,90,1,1355,28,1
